GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerName-0,Player-1,Player-0,Player-2,PlayerName-1,PlayerName-2
1984546776,Descent2e,8,GAME_OVER,141,0,3,61,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1469026952,Descent2e,5,GAME_OVER,96,0,3,62,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-368328817,Descent2e,7,GAME_OVER,111,0,3,63,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-328454052,Descent2e,6,GAME_OVER,125,2,3,64,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
1036246523,Descent2e,5,GAME_OVER,88,0,3,65,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1439845840,Descent2e,8,GAME_OVER,149,2,3,66,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
1766046121,Descent2e,9,GAME_OVER,141,0,3,67,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-266231328,Descent2e,5,GAME_OVER,102,0,3,68,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-445426961,Descent2e,4,GAME_OVER,72,0,3,69,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
444523532,Descent2e,9,GAME_OVER,162,0,3,70,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
1087194764,Descent2e,7,GAME_OVER,134,0,3,71,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
42919042,Descent2e,20,GAME_OVER,256,0,3,72,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1391062767,Descent2e,5,GAME_OVER,95,0,3,73,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1318988238,Descent2e,20,GAME_OVER,321,0,3,74,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
1070895554,Descent2e,13,GAME_OVER,207,0,3,75,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1300726584,Descent2e,5,GAME_OVER,95,3,3,76,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
1718144275,Descent2e,20,GAME_OVER,233,0,3,77,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
1776530246,Descent2e,5,GAME_OVER,114,0,3,78,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1385807378,Descent2e,4,GAME_OVER,69,1,3,79,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1502554794,Descent2e,5,GAME_OVER,93,0,3,80,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
