GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,RoundCounter(RoundCounter),Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-4),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(Player-3),GameScore(Player-2),GameScore(PlayerName-1),GameScore(PlayerName-2),GameScore(PlayerName-3),GameScore(PlayerName-4)
1492245547,Descent2e,2,ROUND_OVER,65,13,5,9,,"(7,2)","(1,15)","(8,6)","(11,4)","(1,16)","(2,15)","(5,16)","(2,6)","(3,8)","(6,14)","(5,7)","(6,17)","(6,2)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1492245547,Descent2e,3,ROUND_OVER,90,13,5,9,,"(7,2)","(1,15)","(8,6)","(11,4)","(1,16)","(2,15)","(7,12)","(2,6)","(3,8)","(6,14)","(5,7)","(6,17)","(6,2)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-103559468,Descent2e,0,ROUND_OVER,42,13,5,10,,"(7,4)","(6,17)","(9,3)","(6,5)","(1,15)","(1,16)","(3,14)","(2,7)","(2,4)","(2,5)","(3,8)","(4,13)","(7,7)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-103559468,Descent2e,1,ROUND_OVER,78,13,5,10,,"(7,4)","(6,17)","(9,3)","(6,5)","(2,16)","(1,16)","(2,15)","(2,7)","(2,4)","(2,5)","(4,13)","(4,17)","(7,7)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-103559468,Descent2e,2,ROUND_OVER,107,12,5,10,,"(7,4)","(6,17)","(9,3)","(6,5)","(2,16)","(1,16)","(7,15)","(5,7)","(8,2)","(2,5)","(2,7)","(4,17)","(7,7)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-103559468,Descent2e,3,ROUND_OVER,126,13,5,10,,"(7,4)","(6,17)","(9,3)","(6,5)","(2,16)","(1,16)","(8,11)","(5,7)","(8,2)","(2,5)","(2,7)","(4,17)","(7,7)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-103559468,Descent2e,4,ROUND_OVER,153,13,5,10,,"(7,4)","(6,17)","(7,3)","(6,5)","(2,16)","(1,16)","(8,11)","(5,7)","(8,2)","(2,5)","(2,7)","(4,17)","(7,7)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
206270627,Descent2e,0,ROUND_OVER,39,13,5,11,,"(11,4)","(1,15)","(8,3)","(11,6)","(2,15)","(1,16)","(4,11)","(5,7)","(2,7)","(3,9)","(4,7)","(4,9)","(8,2)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
206270627,Descent2e,1,ROUND_OVER,58,13,5,11,,"(11,4)","(1,15)","(8,3)","(11,6)","(2,15)","(1,16)","(4,11)","(5,7)","(2,7)","(3,9)","(4,7)","(3,11)","(8,2)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
206270627,Descent2e,2,ROUND_OVER,92,13,5,11,,"(11,4)","(1,15)","(8,3)","(11,6)","(3,14)","(1,16)","(4,14)","(5,7)","(2,7)","(3,12)","(4,7)","(5,14)","(8,2)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
206270627,Descent2e,3,ROUND_OVER,115,12,5,11,,"(11,4)","(1,15)","(8,3)","(11,6)","(3,14)","(1,16)","(5,13)","(4,11)","(2,7)","(4,14)","(4,7)","(8,6)","(8,2)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
206270627,Descent2e,4,ROUND_OVER,129,13,5,11,,"(11,4)","(1,15)","(8,3)","(11,6)","(3,14)","(1,16)","(5,13)","(4,11)","(2,7)","(4,14)","(4,7)","(8,6)","(8,2)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
206270627,Descent2e,5,ROUND_OVER,147,13,5,11,,"(11,4)","(1,15)","(8,3)","(11,6)","(3,14)","(1,16)","(6,14)","(4,11)","(2,7)","(4,14)","(4,7)","(8,6)","(8,2)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
